productId,productName,productPrice,producerName,categoryName,discountPercentValue
1,Sony 4K TV 1,1615.66,Sony,4K TVs,10
2,Samsung 4K TV 2,1176.32,Samsung,4K TVs,10
3,Sony 4K TV 3,1278.79,Sony,4K TVs,0
4,Samsung 4K TV 4,548.22,Samsung,4K TVs,10
5,Samsung 4K TV 5,138.12,Samsung,4K TVs,0
6,LG 4K TV 6,1997.89,LG,4K TVs,5
7,Sony 4K TV 7,540.73,Sony,4K TVs,0
8,Samsung 4K TV 8,751.08,Samsung,4K TVs,10
9,Samsung 4K TV 9,1228.96,Samsung,4K TVs,25
10,Sony 4K TV 10,223.99,Sony,4K TVs,10
11,HP Accessories for Cases and Component 1,1092.24,HP,Accessories for Cases and Components,0
12,Mattel Accessories for Cases and Component 2,744.64,Mattel,Accessories for Cases and Components,25
13,Nestlé Accessories for Cases and Component 3,1151.24,Nestlé,Accessories for Cases and Components,0
14,Nivea Accessories for Cases and Component 4,521.24,Nivea,Accessories for Cases and Components,10
15,Heinz Accessories for Cases and Component 5,1961.17,Heinz,Accessories for Cases and Components,0
16,Sony Accessories for Cases and Component 6,1151.79,Sony,Accessories for Cases and Components,0
17,Levi's Accessories for Cases and Component 7,1394.98,Levi's,Accessories for Cases and Components,5
18,Chicco Accessories for Cases and Component 8,1072.53,Chicco,Accessories for Cases and Components,0
19,Ariel Accessories for Cases and Component 9,1925.37,Ariel,Accessories for Cases and Components,0
20,Asus Accessories for Cases and Component 10,1442.26,Asus,Accessories for Cases and Components,20
21,Canon All-in-One PC 1,1897.35,Canon,All-in-One PCs,0
22,Levi's All-in-One PC 2,1894.55,Levi's,All-in-One PCs,0
23,Colgate All-in-One PC 3,38.08,Colgate,All-in-One PCs,15
24,Ariel All-in-One PC 4,1926.19,Ariel,All-in-One PCs,5
25,HP All-in-One PC 5,1111.63,HP,All-in-One PCs,5
26,Fisher-Price All-in-One PC 6,955.02,Fisher-Price,All-in-One PCs,10
27,Lenovo All-in-One PC 7,1982.75,Lenovo,All-in-One PCs,15
28,Apple All-in-One PC 8,1634.97,Apple,All-in-One PCs,25
29,Finish All-in-One PC 9,734.44,Finish,All-in-One PCs,10
30,Gillette All-in-One PC 10,1890.91,Gillette,All-in-One PCs,10
31,LG Apple Watch 1,268.97,LG,Apple Watch,15
32,Fisher-Price Apple Watch 2,176.67,Fisher-Price,Apple Watch,5
33,Apple Apple Watch 3,638.44,Apple,Apple Watch,5
34,Garnier Apple Watch 4,1758.95,Garnier,Apple Watch,5
35,Gillette Apple Watch 5,462.01,Gillette,Apple Watch,20
36,Lenovo Apple Watch 6,610.87,Lenovo,Apple Watch,0
37,Levi's Apple Watch 7,1030.56,Levi's,Apple Watch,0
38,Tefal Apple Watch 8,719.91,Tefal,Apple Watch,5
39,LG Apple Watch 9,262.95,LG,Apple Watch,10
